ent_num,sdn_name,sdn_type,programs,remarks,title,call_sign,vessel_type,tonnage,gross_registered_tonnage,flag,vessel_owner
51566,DIAMOND,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2444,Chemical/Oil Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2009; Vessel Registration Identification IMO 9385142; MMSI 314946000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51568,IVAN AIVAZOVSKY,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,-0- ,Products Tanker,-0- ,-0- ,Russia,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9876359; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51569,JUPITER,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2425,Chemical/Oil Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2009; Vessel Registration Identification IMO 9397535; MMSI 314931000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51571,NS PRIDE,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,TRBI6,Chemical/Oil Tanker,-0- ,-0- ,Gabon,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2006; Vessel Registration Identification IMO 9322956; MMSI 626399000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51573,NS SILVER,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E7521,Chemical/Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2005; Vessel Registration Identification IMO 9309576; MMSI 352003367; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51574,PREMIER,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2443,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2011; Vessel Registration Identification IMO 9577082; MMSI 314945000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51575,ARIA,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2495,Chemical/Oil Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2009; Vessel Registration Identification IMO 9397559; MMSI 314987000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51578,TANGO,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2442,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2006; Vessel Registration Identification IMO 9292058; MMSI 314944000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
51580,FJORD SEAL,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,3E3737,Crude Oil Tanker,-0- ,-0- ,Panama,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Registration Identification IMO 9513139; MMSI 352001925; Linked To: PROMINENT SHIPMANAGEMENT LIMITED."
51581,TALISMAN,vessel,UKRAINE-EO13662] [RUSSIA-EO14024,-0- ,8P2456,Products Tanker,-0- ,-0- ,Barbados,-0- ,"Secondary sanctions risk: See Section 11 of Executive Order 14024.; alt. Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Vessel Year of Build 2006; Vessel Registration Identification IMO 9292060; MMSI 314956000; Linked To: JOINT STOCK COMPANY SOVCOMFLOT."
